Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100614009,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919405,8771315,24-05-2020,R09,399.01
1100777001,,AC_AJCRASE,CR,1,5100.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919411,8779139,24-05-2020,R09,51.01
1100676065,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919410,8779134,24-05-2020,R09,599.00
1100681014,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919409,8771323,24-05-2020,R09,599.00
1100673058,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919408,8771320,24-05-2020,R09,599.00
1100676073,,AC_AJCRASE,CR,1,59900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919407,8771321,24-05-2020,R09,599.00
1100674061,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919800,8781067,24-05-2020,R06,399.01
1100682000,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919799,8778111,24-05-2020,R06,229.00
1100669040,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919798,8782068,24-05-2020,R06,399.01
1100681002,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919797,8776120,24-05-2020,R06,229.00
1100680001,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919796,8774095,24-05-2020,R06,229.00
1100681000,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919795,8784067,24-05-2020,R06,499.00
1100679002,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919794,8774096,24-05-2020,R06,229.00
1100619014,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920350,8771210,24-05-2020,R01,499.00
1100678000,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919793,8774094,24-05-2020,R06,399.01
1100679000,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919792,8776117,24-05-2020,R06,499.00
1100631000,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920349,8771215,24-05-2020,R01,499.00
1100629003,,AC_AJCRASE,CR,1,50019.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920348,8781083,24-05-2020,R01,500.19
